logFC	p-value	q-value	SYMBOL
-0.05	0.67	0.87	ATHL1
-0.03	0.67	0.87	PHACTR4
0.13	0.67	0.87	AKR7A2
0.05	0.67	0.87	WSB1
-0.08	0.67	0.87	IL7R
0.11	0.67	0.87	RASD2
-0.05	0.67	0.87	NIPBL
0.08	0.67	0.87	NA
-0.08	0.67	0.87	GBGT1
-0.06	0.67	0.87	SCMH1
-0.09	0.67	0.87	MPP7
0.03	0.67	0.87	ATF6
-0.1	0.67	0.87	ADAM20
0.03	0.67	0.87	HEXDC
0.05	0.67	0.87	CROCC
0.23	0.67	0.87	AHSG
0.07	0.67	0.87	NA
0.07	0.67	0.87	FLT3
0.04	0.67	0.87	CCAR1
-0.13	0.67	0.87	PGR
-0.36	0.67	0.87	CSN3
0.07	0.67	0.87	ARHGEF15
0.03	0.67	0.87	UBP1
-0.06	0.67	0.87	RASGRP1
0.17	0.67	0.87	EMILIN3
0.03	0.67	0.87	NUTF2
-0.04	0.67	0.87	TOR1AIP1
-0.04	0.67	0.87	RSL24D1
-0.06	0.67	0.87	RHOBTB3
0.25	0.67	0.87	PROC
-0.04	0.67	0.87	PHF20L1
0.07	0.67	0.87	SH2D1B
-0.09	0.67	0.87	SFXN3
-0.08	0.67	0.87	HIPK4
-0.13	0.67	0.87	NA
0.08	0.67	0.87	EPM2AIP1
0.05	0.67	0.87	PDS5B
0.04	0.67	0.87	SNORD62
0.04	0.67	0.87	PRRC2B
-0.05	0.67	0.87	STX2
0.04	0.67	0.87	ELMOD2
-0.14	0.67	0.87	KCNN1
-0.03	0.67	0.87	ZNF576
0.03	0.67	0.87	ENTHD2
0.07	0.67	0.87	MIR568
0.05	0.67	0.87	TAF4B
-0.06	0.67	0.87	METTL25
0.05	0.67	0.87	TMLHE
-0.08	0.67	0.87	NA
0.04	0.67	0.87	AIMP2
0.09	0.67	0.87	LOC512867
-0.05	0.67	0.87	LSM1
0.04	0.67	0.87	NA
0.13	0.67	0.87	NA
0.03	0.67	0.87	EXOC2
0.09	0.68	0.87	EMP2
0.04	0.68	0.87	CCDC71
-0.03	0.68	0.87	SNX12
-0.08	0.68	0.87	SLC4A2
0.08	0.68	0.87	SNORA3
0.12	0.68	0.87	TFEC
-0.04	0.68	0.87	DEF6
0.06	0.68	0.87	DENND4C
-0.07	0.68	0.87	PAPSS2
-0.05	0.68	0.87	PDIA3
-0.09	0.68	0.87	MMP25
0.3	0.68	0.87	AGR2
-0.03	0.68	0.87	TRAK2
0.02	0.68	0.87	SCAP
0.02	0.68	0.87	ELP6
-0.03	0.68	0.87	PQBP1
-0.03	0.68	0.87	BCDIN3D
-0.11	0.68	0.87	TRIM29
0.06	0.68	0.87	SLC38A2
-0.04	0.68	0.87	TMED1
0.03	0.68	0.87	SDHD
0.08	0.68	0.87	MSH5
-0.04	0.68	0.87	COG6
0.11	0.68	0.87	OASL
-0.06	0.68	0.87	WLS
0.27	0.68	0.87	M-SAA3.2
0.03	0.68	0.87	MAN2C1
-0.03	0.68	0.87	MSL2
0.03	0.68	0.87	CNPY3
0.05	0.68	0.87	IMMP2L
-0.04	0.68	0.87	TADA1
0.03	0.68	0.87	KBTBD4
0.02	0.68	0.87	BABAM1
-0.03	0.68	0.87	NSMCE3
0.09	0.68	0.87	GPR19
0.04	0.68	0.87	CLHC1
0.04	0.68	0.87	MAT2A
-0.1	0.68	0.87	NA
-0.06	0.68	0.87	SH3GLB2
0.03	0.68	0.87	APTX
-0.19	0.68	0.88	NA
0.06	0.68	0.88	LOC509946
0.04	0.68	0.88	CD2AP
0.04	0.68	0.88	RAB3GAP1
-0.04	0.68	0.88	PKN2
-0.13	0.68	0.88	RHOV
-0.06	0.68	0.88	AARS
-0.03	0.68	0.88	MED4
0.09	0.68	0.88	GSS
-0.1	0.68	0.88	FKBP5
0.11	0.68	0.88	MFAP2
0.03	0.68	0.88	VTA1
-0.03	0.68	0.88	EXOC4
-0.07	0.68	0.88	HOXB3
0.04	0.68	0.88	NA
-0.05	0.68	0.88	FZR1
-0.05	0.68	0.88	C19orf71
0.04	0.68	0.88	GLO1
-0.04	0.68	0.88	DOCK8
0.09	0.68	0.88	CD3D
0.1	0.68	0.88	NA
-0.04	0.68	0.88	TYRO3
0.13	0.68	0.88	RAB39B
-0.1	0.68	0.88	KLRK1
-0.04	0.68	0.88	PHB2
-0.04	0.68	0.88	SLF2
-0.12	0.68	0.88	TDRD12
-0.09	0.68	0.88	ADAM11
0.13	0.68	0.88	LYZ
-0.08	0.68	0.88	TIAM2
0.14	0.68	0.88	MLXIPL
-0.03	0.68	0.88	SCAF1
0.09	0.68	0.88	CD93
-0.06	0.68	0.88	ADCY7
0.09	0.68	0.88	GRAMD1B
0.07	0.68	0.88	MFHAS1
0.05	0.68	0.88	HK1
0.05	0.69	0.88	FITM1
0.08	0.69	0.88	NA
0.1	0.69	0.88	MKLN1
-0.04	0.69	0.88	PPWD1
0.15	0.69	0.88	MRPS7
-0.3	0.69	0.88	TMEM119
-0.06	0.69	0.88	ACOT11
0.05	0.69	0.88	TMEM187
-0.06	0.69	0.88	NA
-0.06	0.69	0.88	MECOM
-0.06	0.69	0.88	LOC504858
0.03	0.69	0.88	SNORD14
0.03	0.69	0.88	CPA5
0.03	0.69	0.88	CPA4
0.28	0.69	0.88	NA
-0.03	0.69	0.88	CLPB
0.04	0.69	0.88	PTPN9
-0.05	0.69	0.88	DIRAS2
-0.12	0.69	0.88	TSNAX
0.04	0.69	0.88	SNORA42
-0.08	0.69	0.88	FAM212B
0.07	0.69	0.88	PRPF4
0.07	0.69	0.88	NA
-0.04	0.69	0.88	NA
-0.04	0.69	0.88	STARD9
0.1	0.69	0.88	NA
0.1	0.69	0.88	CRLF1
0.11	0.69	0.88	NA
0.05	0.69	0.88	MFAP3
-0.04	0.69	0.88	SSPN
0.08	0.69	0.88	CAB39
0.03	0.69	0.88	RRH
-0.13	0.69	0.88	MIR671
0.07	0.69	0.88	CHPF2
-0.02	0.69	0.88	SRGAP2
0.25	0.69	0.88	ACTG2
0.05	0.69	0.88	FUK
0.05	0.69	0.88	PSTPIP1
0.15	0.69	0.88	ATP11A
-0.11	0.69	0.88	DNM1
-0.11	0.69	0.88	CDC73
0.03	0.69	0.88	MYO5A
-0.05	0.69	0.88	KLHL4
-0.03	0.69	0.88	DNAJB11
-0.14	0.69	0.88	CCR8
-0.04	0.69	0.88	TNKS
-0.04	0.69	0.88	NA
-0.03	0.69	0.88	NA
-0.24	0.69	0.88	NA
-0.03	0.69	0.88	NA
0.08	0.69	0.88	MIEF2
-0.06	0.69	0.88	ZDHHC16
0.08	0.69	0.88	LUM
-0.04	0.69	0.88	CHD4
0.05	0.69	0.88	NOP2
-0.11	0.69	0.88	PLA2G15
-0.07	0.69	0.88	NA
-0.12	0.69	0.88	PLEKHG6
0.04	0.69	0.88	SLCO4C1
-0.18	0.69	0.88	MIR2422
-0.05	0.69	0.88	FLNC
-0.06	0.69	0.88	NA
0.13	0.69	0.88	NA
0.04	0.69	0.88	NSDHL
-0.03	0.69	0.88	EBPL
0.1	0.69	0.88	NA
0.03	0.69	0.88	SEC61A1
0.03	0.69	0.88	SLC7A10
0.09	0.69	0.88	C16H1orf95
0.06	0.69	0.88	CCDC166
0.12	0.69	0.88	H3F3C
0.09	0.69	0.88	NA
0.1	0.69	0.88	MLF1
0.1	0.69	0.88	TIMM17B
-0.05	0.69	0.88	ADAMTS12
-0.13	0.69	0.88	S100A9
-0.1	0.69	0.88	C19H17orf62
0.06	0.69	0.88	NA
-0.1	0.69	0.88	NA
-0.09	0.69	0.88	HOXC4
0.14	0.69	0.88	ANAPC4
0.15	0.69	0.88	5S_rRNA
0.12	0.69	0.88	NOV
0.06	0.69	0.88	RPUSD4
-0.09	0.69	0.88	GBP5
-0.11	0.69	0.88	ANKRD17
0.04	0.69	0.88	SNORD5
0.15	0.69	0.88	SNORA1
0.23	0.69	0.88	snoZ40
0.03	0.69	0.88	SNORA18
0.04	0.69	0.88	SNORA8
0.19	0.69	0.88	TAF1D
0.08	0.69	0.88	SNORA25
0.04	0.69	0.88	TANC1
0.04	0.69	0.88	NA
0.15	0.69	0.88	PPP2R1B
-0.04	0.69	0.88	TP53TG5
-0.08	0.7	0.88	LOC541220
0.03	0.7	0.88	SPSB1
-0.04	0.7	0.88	PDK1
-0.04	0.7	0.88	CDC123
-0.04	0.7	0.88	NA
-0.04	0.7	0.88	PPP1R18
-0.04	0.7	0.88	LOC515150
-0.04	0.7	0.88	NA
-0.04	0.7	0.88	TCEANC2
-0.03	0.7	0.88	NA
-0.14	0.7	0.88	SLC2A13
-0.03	0.7	0.88	DENND6A
0.1	0.7	0.88	RPS24
0.08	0.7	0.88	EHMT1
0.08	0.7	0.88	RPS19
0.04	0.7	0.88	NAP1L4
-0.03	0.7	0.88	ADAMTS8
0.05	0.7	0.88	LOC618633
0.06	0.7	0.88	CHCHD3
0.24	0.7	0.88	NA
-0.15	0.7	0.88	NCKAP5L
0.04	0.7	0.88	TNFRSF13B
-0.14	0.7	0.88	CDH3
-0.07	0.7	0.88	CDHR2
-0.03	0.7	0.88	RAP1GAP2
-0.04	0.7	0.88	VPS13D
-0.02	0.7	0.88	TMEM219
-0.05	0.7	0.88	ENO1
-0.02	0.7	0.88	NA
0.2	0.7	0.88	STK17A
0.09	0.7	0.88	PITPNM3
-0.03	0.7	0.88	SOX30
0.21	0.7	0.88	HAGH
0.06	0.7	0.88	ARHGEF16
0.15	0.7	0.88	NA
0.07	0.7	0.88	POLR2D
-0.19	0.7	0.88	MRPS18A
0.1	0.7	0.88	CD70
-0.03	0.7	0.88	ZNHIT6
0.02	0.7	0.88	UPF3B
-0.06	0.7	0.88	ATG16L1
0.13	0.7	0.88	SUPT5H
-0.08	0.7	0.88	NELFA
0.16	0.7	0.88	NA
-0.09	0.7	0.88	MPST
-0.06	0.7	0.88	SIVA1
0.12	0.7	0.88	NA
0.18	0.7	0.88	LDAH
0.03	0.7	0.88	PTPN4
-0.03	0.7	0.88	KCNAB1
0.13	0.7	0.88	C7H19orf25
0.04	0.7	0.88	NOTCH4
0.03	0.7	0.88	MAP4K1
-0.03	0.7	0.88	MSTO1
-0.05	0.7	0.88	WDR87
-0.03	0.7	0.88	NA
-0.06	0.7	0.88	SETX
0.04	0.7	0.88	NA
-0.06	0.7	0.88	TRIAP1
-0.08	0.7	0.88	ZNF197
0.03	0.7	0.88	NA
0.06	0.7	0.88	NA
0.16	0.7	0.88	CIDEB
-0.04	0.7	0.88	PCM1
-0.07	0.7	0.88	SLC2A3
0.06	0.7	0.88	MAPK12
0.06	0.7	0.88	MIR7-2
0.09	0.7	0.88	PHF10
-0.2	0.7	0.88	NA
-0.04	0.7	0.88	NA
0.1	0.7	0.89	KDM5A
-0.04	0.7	0.89	LOC104968722
0.03	0.7	0.89	NA
0.03	0.7	0.89	SPARC
0.03	0.7	0.89	ZNF654
-0.1	0.7	0.89	NPM1
-0.04	0.7	0.89	ALPK2
-0.09	0.7	0.89	NRCAM
-0.1	0.71	0.89	YWHAE
-0.07	0.71	0.89	UCKL1
0.02	0.71	0.89	NA
0.06	0.71	0.89	NAPB
-0.16	0.71	0.89	SH3TC1
0.03	0.71	0.89	NA
0.06	0.71	0.89	SSBP4
-0.23	0.71	0.89	SNCB
0.12	0.71	0.89	TAL1
-0.04	0.71	0.89	DHCR24
-0.05	0.71	0.89	OXR1
-0.12	0.71	0.89	ZFAND6
0.2	0.71	0.89	NA
-0.02	0.71	0.89	GTF2A1
0.03	0.71	0.89	LOC786231
0.11	0.71	0.89	SYPL1
0.04	0.71	0.89	GPR18
-0.05	0.71	0.89	TRIM41
0.13	0.71	0.89	ABCA9
0.03	0.71	0.89	GALNT7
-0.12	0.71	0.89	MRPS18B
-0.06	0.71	0.89	NA
-0.13	0.71	0.89	NA
0.04	0.71	0.89	NCOR1
0.03	0.71	0.89	HSPA4L
0.03	0.71	0.89	DUSP12
0.03	0.71	0.89	PITPNB
-0.06	0.71	0.89	RASA1
-0.03	0.71	0.89	CDK5
0.09	0.71	0.89	GPR35
-0.02	0.71	0.89	ARHGEF40
-0.06	0.71	0.89	SNORD18
-0.06	0.71	0.89	NFKBID
-0.05	0.71	0.89	SLC15A1
-0.11	0.71	0.89	RRP7A
-0.21	0.71	0.89	WNK1
0.03	0.71	0.89	NDUFC1
0.08	0.71	0.89	MGARP
0.03	0.71	0.89	RAP1A
0.02	0.71	0.89	PLEK2
-0.03	0.71	0.89	PYROXD1
0.03	0.71	0.89	RAB11A
-0.07	0.71	0.89	SKAP2
0.06	0.71	0.89	NABP1
0.09	0.71	0.89	TMEM64
-0.03	0.71	0.89	CGNL1
-0.07	0.71	0.89	C2CD4D
-0.06	0.71	0.89	SERHL2
0.04	0.71	0.89	RPL14
-0.05	0.71	0.89	PRKAR2B
-0.05	0.71	0.89	CHCHD6
-0.03	0.71	0.89	STUB1
-0.07	0.71	0.89	RHBDL1
-0.03	0.71	0.89	NPHP3
-0.03	0.71	0.89	NA
-0.04	0.71	0.89	NA
-0.04	0.71	0.89	LOC781741
0.1	0.71	0.89	JRKL
-0.07	0.71	0.89	SLC37A3
0.14	0.71	0.89	CMYA5
0.11	0.71	0.89	PLXNC1
-0.04	0.71	0.89	NA
-0.07	0.71	0.89	CSF3R
0.06	0.71	0.89	NA
0.04	0.71	0.89	SKI
0.04	0.71	0.89	C25H16orf62
0.03	0.71	0.89	CCP110
-0.07	0.71	0.89	SBNO1
-0.04	0.71	0.89	RNF141
0.06	0.72	0.89	ATP8A1
-0.03	0.72	0.89	GNA15
0.06	0.72	0.89	VN1R1
-0.11	0.72	0.89	TAF3
0.08	0.72	0.89	KMT2B
-0.15	0.72	0.89	AASDH
-0.18	0.72	0.89	SH2D2A
0.07	0.72	0.89	CDH11
0.04	0.72	0.89	MAPK7
-0.02	0.72	0.89	GPS1
-0.02	0.72	0.89	SNX18
0.03	0.72	0.89	SNORA79
-0.03	0.72	0.89	TNKS2
-0.07	0.72	0.89	ARSJ
0.06	0.72	0.89	ZNF345
-0.1	0.72	0.89	MLLT10
-0.04	0.72	0.89	L1CAM
-0.02	0.72	0.89	ACER2
0.03	0.72	0.89	NSD1
0.07	0.72	0.89	LYPD6B
-0.11	0.72	0.89	PDCD1
0.03	0.72	0.89	C3H2orf54
-0.04	0.72	0.89	VPS28
-0.03	0.72	0.89	TONSL
0.21	0.72	0.89	RRP12
-0.02	0.72	0.89	SLC35F1
-0.08	0.72	0.89	CLNK
0.06	0.72	0.89	SPCS3
-0.02	0.72	0.89	EFCAB5
-0.09	0.72	0.89	RAMP3
-0.07	0.72	0.89	TMA16
-0.04	0.72	0.89	LDLR
0.14	0.72	0.89	SLC6A4
0.07	0.72	0.89	NA
-0.19	0.72	0.89	TBPL1
-0.03	0.72	0.89	NFKBIA
-0.03	0.72	0.89	NA
0.03	0.72	0.89	SYT11
0.1	0.72	0.89	GABRR1
-0.1	0.72	0.89	UNC119
0.06	0.72	0.89	HSTN
0.08	0.72	0.89	TBX21
0.08	0.72	0.89	RUBCN
0.03	0.72	0.89	ABCB8
0.09	0.72	0.9	NA
-0.07	0.72	0.9	NA
-0.04	0.72	0.9	RPSA
-0.03	0.72	0.9	TBC1D4
0.03	0.72	0.9	MPP5
0.17	0.72	0.9	ADAMTSL4
-0.07	0.72	0.9	GCFC2
0.12	0.72	0.9	FAM131C
0.04	0.72	0.9	NA
0.51	0.72	0.9	NSRP1
-0.05	0.72	0.9	NA
0.02	0.72	0.9	MTMR7
-0.04	0.72	0.9	KIAA1919
0.08	0.72	0.9	CAPN8
0.09	0.72	0.9	GSDMB
0.04	0.72	0.9	MAP2K2
-0.04	0.72	0.9	ZCCHC10
-0.04	0.72	0.9	ACKR3
0.12	0.72	0.9	NA
0.05	0.73	0.9	TRA2A
-0.11	0.73	0.9	GOSR1
0.03	0.73	0.9	SNORA28
0.04	0.73	0.9	PLVAP
0.04	0.73	0.9	MTX3
0.05	0.73	0.9	AAED1
-0.08	0.73	0.9	SLC9A3R2
-0.09	0.73	0.9	ZNF292
0.08	0.73	0.9	MRVI1
0.03	0.73	0.9	LOX
0.03	0.73	0.9	NA
-0.12	0.73	0.9	SMC3
0.1	0.73	0.9	STAT5B
0.04	0.73	0.9	XYLT1
0.03	0.73	0.9	KPNA6
0.07	0.73	0.9	PPP4C
-0.06	0.73	0.9	ENO2
0.04	0.73	0.9	EPSTI1
-0.04	0.73	0.9	GPRIN3
-0.05	0.73	0.9	CHST3
0.05	0.73	0.9	TMEM181
-0.06	0.73	0.9	ZBTB34
0.14	0.73	0.9	ADPRHL2
0.22	0.73	0.9	TEKT2
0.04	0.73	0.9	FAM107B
0.06	0.73	0.9	INPP5J
0.08	0.73	0.9	KIF27
0.02	0.73	0.9	SOX18
0.03	0.73	0.9	WDR83OS
-0.13	0.73	0.9	TMEM222
-0.05	0.73	0.9	VCAN
0.08	0.73	0.9	PHTF2
0.05	0.73	0.9	BGLAP
-0.03	0.73	0.9	PMF1
0.05	0.73	0.9	B9D2
-0.02	0.73	0.9	SPPL3
-0.02	0.73	0.9	TDP2
0.06	0.73	0.9	SLA2
0.1	0.73	0.9	GLRB
0.06	0.73	0.9	COQ7
-0.08	0.73	0.9	DNAJC27
-0.04	0.73	0.9	DENND4B
-0.02	0.73	0.9	LOC100847724
0.13	0.73	0.9	ZMAT2
0.05	0.73	0.9	HIST3H2A
-0.04	0.73	0.9	CHTOP
-0.04	0.73	0.9	NA
0.05	0.73	0.9	SIRT5
0.03	0.73	0.9	RETSAT
0.03	0.73	0.9	ATP5C1
-0.06	0.73	0.9	TLR7
0.1	0.73	0.9	NA
0.04	0.73	0.9	WDR72
0.04	0.73	0.9	NA
0.03	0.73	0.9	ZNF691
-0.18	0.73	0.9	LOC512150
-0.03	0.73	0.9	ZNF414
0.07	0.73	0.9	MFSD8
-0.03	0.73	0.9	CD200
0.18	0.73	0.9	PSMD14
0.03	0.73	0.9	INHA
-0.1	0.73	0.9	TMEM175
-0.03	0.73	0.9	GRPEL1
0.06	0.73	0.9	NA
-0.13	0.73	0.9	BANK1
-0.21	0.73	0.9	SOWAHD
0.05	0.73	0.9	FUZ
0.02	0.73	0.9	CEP162
0.07	0.73	0.9	ARID3B
0.03	0.73	0.9	NA
-0.03	0.73	0.9	MPP1
-0.09	0.73	0.9	NPTN
-0.03	0.73	0.9	ADAM32
0.09	0.73	0.9	LOC530077
-0.03	0.73	0.9	LOC505383
0.03	0.73	0.9	RPS5
0.16	0.73	0.9	NEO1
-0.07	0.73	0.9	TBC1D10C
-0.07	0.73	0.9	NA
0.04	0.73	0.9	SCYL1
-0.07	0.73	0.9	TK2
-0.03	0.73	0.9	PIGR
-0.06	0.73	0.9	NEU3
0.05	0.73	0.9	LSM5
0.02	0.73	0.9	C3AR1
-0.2	0.73	0.9	SYK
0.07	0.73	0.9	CEP135
-0.14	0.73	0.9	ZBTB7A
0.04	0.73	0.9	GNG11
0.04	0.73	0.9	CASP8AP2
0.06	0.73	0.9	POLR1E
0.14	0.73	0.9	BOLA-DOA
0.05	0.73	0.9	PLXNB1
0.03	0.73	0.9	LOC540136
0.24	0.73	0.9	GRIK3
0.03	0.73	0.9	TFB1M
0.03	0.73	0.9	TOM1L2
-0.07	0.73	0.9	TLK2
-0.05	0.73	0.9	MARCKS
0.07	0.73	0.9	NA
-0.03	0.73	0.9	TMEM134
0.05	0.73	0.9	USF3
-0.05	0.74	0.9	CCDC88B
0.03	0.74	0.9	SPPL2B
0.06	0.74	0.9	NA
-0.07	0.74	0.9	NA
-0.04	0.74	0.9	CADM4
-0.1	0.74	0.9	B3GNT3
-0.03	0.74	0.9	OSBPL3
-0.03	0.74	0.9	NA
-0.02	0.74	0.9	CEP63
0.04	0.74	0.9	C16orf52
-0.06	0.74	0.9	GDPGP1
0.03	0.74	0.9	NGRN
-0.04	0.74	0.9	TRIM36
0.05	0.74	0.9	FAM63B
-0.02	0.74	0.9	OGFR
-0.06	0.74	0.9	SMCR8
0.11	0.74	0.9	NFIX
0.04	0.74	0.9	PQLC3
-0.06	0.74	0.9	PLD2
-0.07	0.74	0.9	CD52
0.06	0.74	0.9	CLCA3
0.02	0.74	0.9	NCR1
0.03	0.74	0.9	RPS12
-0.02	0.74	0.9	HSPB8
-0.02	0.74	0.9	NA
0.06	0.74	0.9	PLRG1
0.05	0.74	0.9	FKBP8
-0.03	0.74	0.9	FKTN
-0.03	0.74	0.9	CRISPLD2
-0.04	0.74	0.9	NUMBL
-0.04	0.74	0.9	ABL1
0.04	0.74	0.9	NRAP
0.07	0.74	0.9	RELL2
0.04	0.74	0.9	FIZ1
0.12	0.74	0.9	LGMN
0.04	0.74	0.9	MRPL47
0.08	0.74	0.9	NUP98
-0.12	0.74	0.9	CTSZ
0.02	0.74	0.9	RAB10
0.02	0.74	0.9	SND1
0.06	0.74	0.9	PPIL3
-0.07	0.74	0.9	CDK2AP2
-0.05	0.74	0.9	NKD2
-0.03	0.74	0.9	VPS4A
-0.07	0.74	0.9	NA
0.03	0.74	0.9	SPAG16
-0.02	0.74	0.9	SLC25A23
-0.08	0.74	0.9	SLC25A41
0.03	0.74	0.9	NOXA1
-0.02	0.74	0.9	SOCS4
-0.07	0.74	0.9	ZNF623
0.02	0.74	0.9	RCHY1
0.07	0.74	0.9	CHMP5
0.02	0.74	0.9	LINS1
-0.06	0.74	0.9	RNF214
0.06	0.74	0.9	OCIAD1
-0.03	0.74	0.9	NA
-0.05	0.74	0.9	NA
0.09	0.74	0.9	NA
0.06	0.74	0.9	NA
0.06	0.74	0.9	RPS7
-0.05	0.74	0.9	NA
0.05	0.74	0.9	ELF4
0.03	0.74	0.9	EFTUD2
0.02	0.74	0.9	FRS2
-0.02	0.74	0.9	FAM193A
0.03	0.74	0.9	FAM109A
-0.02	0.74	0.9	ZCCHC7
0.03	0.74	0.9	MRPS31
-0.1	0.74	0.9	ANKRD46
0.09	0.74	0.9	ABHD2
-0.05	0.74	0.9	NA
0.09	0.74	0.9	NA
-0.04	0.74	0.9	GOT1L1
-0.03	0.74	0.9	VMAC
-0.04	0.74	0.9	CAPS
0.03	0.74	0.9	HFM1
0.03	0.74	0.9	LY86
-0.02	0.74	0.9	LOC617875
0.07	0.74	0.9	PSMG3
-0.03	0.74	0.9	RANGAP1
0.02	0.74	0.9	NA
0.02	0.74	0.9	ANGPTL2
0.04	0.74	0.9	UBR3
0.12	0.74	0.9	STC2
0.1	0.74	0.9	SF3B5
-0.14	0.74	0.9	ADGRE3
-0.04	0.74	0.9	REV1
-0.04	0.74	0.9	TRPV2
-0.17	0.74	0.9	7SK
-0.07	0.74	0.9	CLK4
-0.07	0.74	0.9	MTFMT
-0.03	0.74	0.9	LTC4S
-0.03	0.74	0.9	TARP
-0.04	0.74	0.9	COL6A2
-0.08	0.74	0.9	STX6
0.04	0.74	0.9	KAT8
-0.16	0.74	0.9	NA
0.04	0.74	0.9	BCKDK
-0.16	0.74	0.9	NDUFAB1
0.02	0.74	0.9	SLC30A6
0.06	0.74	0.9	SPOP
-0.04	0.74	0.9	NA
-0.04	0.74	0.9	PRKAA2
-0.04	0.74	0.9	PRSS35
0.09	0.74	0.9	CRYL1
0.12	0.74	0.9	ADRA1B
0.09	0.74	0.9	ATP5O
0.03	0.74	0.9	ATP8A2
-0.04	0.74	0.9	BEAN1
-0.04	0.74	0.9	IQCE
-0.04	0.74	0.9	RMND1
0.03	0.74	0.9	GNB3
-0.03	0.74	0.9	P3H3
0.02	0.74	0.9	ZC3H7A
0.11	0.74	0.9	NA
0.11	0.74	0.9	NA
0.21	0.74	0.9	LOC613365
0.05	0.75	0.9	CCNC
0.13	0.75	0.9	VARS
-0.03	0.75	0.9	SCAF4
-0.15	0.75	0.9	GFI1
0.08	0.75	0.9	TMEM164
-0.03	0.75	0.9	NA
0.04	0.75	0.9	CTNNBIP1
0.04	0.75	0.9	CLSTN1
0.04	0.75	0.9	POSTN
-0.04	0.75	0.9	MIER2
-0.09	0.75	0.9	RIDA
0.13	0.75	0.9	REM2
-0.08	0.75	0.9	NDUFAF7
-0.03	0.75	0.9	IPO9
-0.03	0.75	0.9	GNAI2
-0.02	0.75	0.9	LGR5
0.07	0.75	0.9	CMTM4
-0.03	0.75	0.9	NA
0.05	0.75	0.9	B4GALT6
-0.06	0.75	0.9	CUL4B
-0.06	0.75	0.9	PDE4A
0.12	0.75	0.9	NA
-0.03	0.75	0.9	SPP2
0.05	0.75	0.9	MAEA
0.14	0.75	0.91	CPT1C
0.03	0.75	0.91	NA
-0.02	0.75	0.91	TNFRSF19
0.04	0.75	0.91	ZNF580
-0.13	0.75	0.91	DCTN6
-0.03	0.75	0.91	LYG2
0.09	0.75	0.91	TBCCD1
-0.07	0.75	0.91	NA
-0.03	0.75	0.91	TAF13
0.04	0.75	0.91	WDR47
0.08	0.75	0.91	FOXO1
0.17	0.75	0.91	CSPG4
-0.02	0.75	0.91	SNUPN
-0.09	0.75	0.91	IMP3
-0.06	0.75	0.91	TFAP2A
0.1	0.75	0.91	NR2C2AP
0.06	0.75	0.91	DUS2
0.02	0.75	0.91	NA
-0.12	0.75	0.91	SEC16B
0.03	0.75	0.91	HIRIP3
-0.09	0.75	0.91	NARS
-0.02	0.75	0.91	NA
-0.02	0.75	0.91	NARF
-0.03	0.75	0.91	PPP1R12A
-0.05	0.75	0.91	PLOD3
0.02	0.75	0.91	RPAIN
0.02	0.75	0.91	FAM20A
-0.08	0.75	0.91	5S_rRNA
-0.04	0.75	0.91	NA
-0.04	0.75	0.91	SLC38A5
0.05	0.75	0.91	CORO1A
0.1	0.75	0.91	GPBP1
0.04	0.75	0.91	SLC1A2
-0.03	0.75	0.91	NBAS
0.08	0.75	0.91	SDHAF3
-0.03	0.75	0.91	NA
-0.04	0.75	0.91	FAM214B
-0.05	0.75	0.91	PRCC
0.04	0.75	0.91	HEBP1
-0.07	0.75	0.91	NAA50
-0.1	0.75	0.91	KDM8
-0.1	0.75	0.91	MRPS28
0.12	0.75	0.91	NDOR1
-0.05	0.75	0.91	BCL3
-0.03	0.75	0.91	HOXA10
0.29	0.75	0.91	FAM199X
-0.02	0.75	0.91	FBLIM1
0.04	0.75	0.91	MEOX1
0.2	0.75	0.91	DHX38
0.05	0.75	0.91	MCFD2
-0.02	0.75	0.91	ENOPH1
-0.05	0.75	0.91	LOC518612
-0.03	0.75	0.91	NA
0.03	0.75	0.91	MGST2
-0.05	0.75	0.91	ZNF596
0.02	0.75	0.91	TBC1D2B
-0.05	0.75	0.91	TRAC
0.09	0.75	0.91	LZTFL1
0.04	0.75	0.91	PDE7A
0.05	0.75	0.91	GALK1
-0.07	0.75	0.91	ANKRD53
-0.02	0.75	0.91	LDHB
-0.08	0.75	0.91	SNORD24
-0.03	0.75	0.91	RPS9
-0.08	0.75	0.91	PSMB2
0.06	0.75	0.91	NA
0.05	0.75	0.91	EPB41L1
0.04	0.75	0.91	CFTR
0.05	0.75	0.91	NA
0.06	0.75	0.91	NA
-0.03	0.75	0.91	NA
0.06	0.75	0.91	CYB561D2
-0.04	0.75	0.91	PTGES3
0.08	0.75	0.91	STX10
-0.04	0.75	0.91	LOC101907518
0.04	0.75	0.91	NA
0.03	0.75	0.91	EIF4A2
-0.03	0.75	0.91	B3GNT2
-0.14	0.75	0.91	COMMD1
0.02	0.75	0.91	TYK2
0.19	0.75	0.91	CEP44
0.06	0.75	0.91	NA
-0.07	0.75	0.91	FNBP1L
-0.03	0.75	0.91	UHRF1BP1L
-0.04	0.75	0.91	LOC618367
0.02	0.75	0.91	SEMA6B
0.03	0.75	0.91	MAP3K11
-0.04	0.75	0.91	DACT3
0.1	0.75	0.91	NA
0.02	0.75	0.91	P2RX7
0.04	0.75	0.91	ASB14
0.04	0.75	0.91	FAM3C
